,Aircraft,Type Of Traveller,Trip Verified,Seat Type,Route,Date Flown,Seat Comfort,Cabin Staff Service,Food & Beverages,Inflight Entertainment,Ground Service,Value For Money,Wifi & Connectivity,Recommended
19,A321 / A330,Couple Leisure,Yes,Business Class,Singapore to Melbourne via Manila,2022-10-01,2.0,3.0,2.0,2.0,1.0,3,0.0,no
20,NA,Couple Leisure,Yes,Economy Class,Los Angeles to Manila,2022-04-01,0.0,0.0,0.0,0.0,0.0,3,0.0,no
21,NA,Solo Leisure,No,Economy Class,Manila to San Francisco,2022-11-01,1.0,1.0,1.0,1.0,1.0,1,1.0,no
22,NA,Family Leisure,Yes,Economy Class,Canada to Philippines,2022-11-01,3.0,3.0,3.0,3.0,1.0,1,3.0,no
23,NA,Couple Leisure,Yes,Economy Class,Hanoi to Manila,2022-11-01,4.0,4.0,4.0,0.0,4.0,2,0.0,no
24,NA,Solo Leisure,Yes,Economy Class,Manila via Los Angeles,2022-11-01,3.0,3.0,2.0,3.0,1.0,3,0.0,no
25,NA,Business,Yes,Economy Class,Manila to Los Angeles,2022-10-01,2.0,1.0,1.0,1.0,4.0,1,1.0,no
26,NA,Solo Leisure,Yes,Economy Class,Davao to San Francisco via Manila,2022-11-01,3.0,3.0,1.0,0.0,1.0,3,0.0,no
27,NA,Solo Leisure,Yes,Business Class,Manila to Melbourne,2022-11-01,0.0,0.0,0.0,0.0,1.0,1,0.0,no
28,A321 / A330,Couple Leisure,Yes,Business Class,Singapore to Melbourne via Manila,2022-10-01,2.0,3.0,2.0,2.0,1.0,3,0.0,no
29,NA,Couple Leisure,Yes,Economy Class,Los Angeles to Manila,2022-04-01,0.0,0.0,0.0,0.0,0.0,3,0.0,no
30,NA,Solo Leisure,No,Economy Class,Manila to San Francisco,2022-11-01,1.0,1.0,1.0,1.0,1.0,1,1.0,no
31,NA,Family Leisure,Yes,Economy Class,Canada to Philippines,2022-11-01,3.0,3.0,3.0,3.0,1.0,1,3.0,no
32,NA,Couple Leisure,Yes,Economy Class,Hanoi to Manila,2022-11-01,4.0,4.0,4.0,0.0,4.0,2,0.0,no
33,NA,Solo Leisure,Yes,Economy Class,Manila via Los Angeles,2022-11-01,3.0,3.0,2.0,3.0,1.0,3,0.0,no
34,NA,Business,Yes,Economy Class,Manila to Los Angeles,2022-10-01,2.0,1.0,1.0,1.0,4.0,1,1.0,no
35,NA,Solo Leisure,Yes,Economy Class,Davao to San Francisco via Manila,2022-11-01,3.0,3.0,1.0,0.0,1.0,3,0.0,no
36,NA,Solo Leisure,Yes,Business Class,Manila to Melbourne,2022-11-01,0.0,0.0,0.0,0.0,1.0,1,0.0,no
37,A321 / A330,Couple Leisure,Yes,Business Class,Singapore to Melbourne via Manila,2022-10-01,2.0,3.0,2.0,2.0,1.0,3,0.0,no
38,NA,Couple Leisure,Yes,Economy Class,Los Angeles to Manila,2022-04-01,0.0,0.0,0.0,0.0,0.0,3,0.0,no
39,NA,Solo Leisure,No,Economy Class,Manila to San Francisco,2022-11-01,1.0,1.0,1.0,1.0,1.0,1,1.0,no
40,NA,Family Leisure,Yes,Economy Class,Canada to Philippines,2022-11-01,3.0,3.0,3.0,3.0,1.0,1,3.0,no
41,NA,Couple Leisure,Yes,Economy Class,Hanoi to Manila,2022-11-01,4.0,4.0,4.0,0.0,4.0,2,0.0,no
42,NA,Solo Leisure,Yes,Economy Class,Manila via Los Angeles,2022-11-01,3.0,3.0,2.0,3.0,1.0,3,0.0,no
43,NA,Business,Yes,Economy Class,Manila to Los Angeles,2022-10-01,2.0,1.0,1.0,1.0,4.0,1,1.0,no
44,NA,Solo Leisure,Yes,Economy Class,Davao to San Francisco via Manila,2022-11-01,3.0,3.0,1.0,0.0,1.0,3,0.0,no
45,NA,Solo Leisure,Yes,Business Class,Manila to Melbourne,2022-11-01,0.0,0.0,0.0,0.0,1.0,1,0.0,no
46,A321 / A330,Couple Leisure,Yes,Business Class,Singapore to Melbourne via Manila,2022-10-01,2.0,3.0,2.0,2.0,1.0,3,0.0,no
47,NA,Couple Leisure,Yes,Economy Class,Los Angeles to Manila,2022-04-01,0.0,0.0,0.0,0.0,0.0,3,0.0,no
48,NA,Solo Leisure,No,Economy Class,Manila to San Francisco,2022-11-01,1.0,1.0,1.0,1.0,1.0,1,1.0,no
49,NA,Family Leisure,Yes,Economy Class,Canada to Philippines,2022-11-01,3.0,3.0,3.0,3.0,1.0,1,3.0,no
50,NA,Couple Leisure,Yes,Economy Class,Hanoi to Manila,2022-11-01,4.0,4.0,4.0,0.0,4.0,2,0.0,no
51,NA,Solo Leisure,Yes,Economy Class,Manila via Los Angeles,2022-11-01,3.0,3.0,2.0,3.0,1.0,3,0.0,no
52,NA,Business,Yes,Economy Class,Manila to Los Angeles,2022-10-01,2.0,1.0,1.0,1.0,4.0,1,1.0,no
53,NA,Solo Leisure,Yes,Economy Class,Davao to San Francisco via Manila,2022-11-01,3.0,3.0,1.0,0.0,1.0,3,0.0,no
54,NA,Solo Leisure,Yes,Business Class,Manila to Melbourne,2022-11-01,0.0,0.0,0.0,0.0,1.0,1,0.0,no
55,A321 / A330,Couple Leisure,Yes,Business Class,Singapore to Melbourne via Manila,2022-10-01,2.0,3.0,2.0,2.0,1.0,3,0.0,no
56,NA,Couple Leisure,Yes,Economy Class,Los Angeles to Manila,2022-04-01,0.0,0.0,0.0,0.0,0.0,3,0.0,no
57,NA,Solo Leisure,No,Economy Class,Manila to San Francisco,2022-11-01,1.0,1.0,1.0,1.0,1.0,1,1.0,no
58,NA,Family Leisure,Yes,Economy Class,Canada to Philippines,2022-11-01,3.0,3.0,3.0,3.0,1.0,1,3.0,no
59,NA,Couple Leisure,Yes,Economy Class,Hanoi to Manila,2022-11-01,4.0,4.0,4.0,0.0,4.0,2,0.0,no
60,NA,Solo Leisure,Yes,Economy Class,Manila via Los Angeles,2022-11-01,3.0,3.0,2.0,3.0,1.0,3,0.0,no
61,NA,Business,Yes,Economy Class,Manila to Los Angeles,2022-10-01,2.0,1.0,1.0,1.0,4.0,1,1.0,no
62,NA,Solo Leisure,Yes,Economy Class,Davao to San Francisco via Manila,2022-11-01,3.0,3.0,1.0,0.0,1.0,3,0.0,no
63,NA,Solo Leisure,Yes,Business Class,Manila to Melbourne,2022-11-01,0.0,0.0,0.0,0.0,1.0,1,0.0,no
64,A321 / A330,Couple Leisure,Yes,Business Class,Singapore to Melbourne via Manila,2022-10-01,2.0,3.0,2.0,2.0,1.0,3,0.0,no
65,NA,Couple Leisure,Yes,Economy Class,Los Angeles to Manila,2022-04-01,0.0,0.0,0.0,0.0,0.0,3,0.0,no
66,NA,Solo Leisure,No,Economy Class,Manila to San Francisco,2022-11-01,1.0,1.0,1.0,1.0,1.0,1,1.0,no
67,NA,Family Leisure,Yes,Economy Class,Canada to Philippines,2022-11-01,3.0,3.0,3.0,3.0,1.0,1,3.0,no
68,NA,Couple Leisure,Yes,Economy Class,Hanoi to Manila,2022-11-01,4.0,4.0,4.0,0.0,4.0,2,0.0,no
69,NA,Solo Leisure,Yes,Economy Class,Manila via Los Angeles,2022-11-01,3.0,3.0,2.0,3.0,1.0,3,0.0,no
70,NA,Business,Yes,Economy Class,Manila to Los Angeles,2022-10-01,2.0,1.0,1.0,1.0,4.0,1,1.0,no
71,NA,Solo Leisure,Yes,Economy Class,Davao to San Francisco via Manila,2022-11-01,3.0,3.0,1.0,0.0,1.0,3,0.0,no
72,NA,Solo Leisure,Yes,Business Class,Manila to Melbourne,2022-11-01,0.0,0.0,0.0,0.0,1.0,1,0.0,no
73,A321 / A330,Couple Leisure,Yes,Business Class,Singapore to Melbourne via Manila,2022-10-01,2.0,3.0,2.0,2.0,1.0,3,0.0,no
74,NA,Couple Leisure,Yes,Economy Class,Los Angeles to Manila,2022-04-01,0.0,0.0,0.0,0.0,0.0,3,0.0,no
75,NA,Solo Leisure,No,Economy Class,Manila to San Francisco,2022-11-01,1.0,1.0,1.0,1.0,1.0,1,1.0,no
76,NA,Family Leisure,Yes,Economy Class,Canada to Philippines,2022-11-01,3.0,3.0,3.0,3.0,1.0,1,3.0,no
77,NA,Couple Leisure,Yes,Economy Class,Hanoi to Manila,2022-11-01,4.0,4.0,4.0,0.0,4.0,2,0.0,no
78,NA,Solo Leisure,Yes,Economy Class,Manila via Los Angeles,2022-11-01,3.0,3.0,2.0,3.0,1.0,3,0.0,no
79,NA,Business,Yes,Economy Class,Manila to Los Angeles,2022-10-01,2.0,1.0,1.0,1.0,4.0,1,1.0,no
80,NA,Solo Leisure,Yes,Economy Class,Davao to San Francisco via Manila,2022-11-01,3.0,3.0,1.0,0.0,1.0,3,0.0,no
81,NA,Solo Leisure,Yes,Business Class,Manila to Melbourne,2022-11-01,0.0,0.0,0.0,0.0,1.0,1,0.0,no
82,A321 / A330,Couple Leisure,Yes,Business Class,Singapore to Melbourne via Manila,2022-10-01,2.0,3.0,2.0,2.0,1.0,3,0.0,no
83,NA,Couple Leisure,Yes,Economy Class,Los Angeles to Manila,2022-04-01,0.0,0.0,0.0,0.0,0.0,3,0.0,no
84,NA,Solo Leisure,No,Economy Class,Manila to San Francisco,2022-11-01,1.0,1.0,1.0,1.0,1.0,1,1.0,no
85,NA,Family Leisure,Yes,Economy Class,Canada to Philippines,2022-11-01,3.0,3.0,3.0,3.0,1.0,1,3.0,no
86,NA,Couple Leisure,Yes,Economy Class,Hanoi to Manila,2022-11-01,4.0,4.0,4.0,0.0,4.0,2,0.0,no
87,NA,Solo Leisure,Yes,Economy Class,Manila via Los Angeles,2022-11-01,3.0,3.0,2.0,3.0,1.0,3,0.0,no
88,NA,Business,Yes,Economy Class,Manila to Los Angeles,2022-10-01,2.0,1.0,1.0,1.0,4.0,1,1.0,no
89,NA,Solo Leisure,Yes,Economy Class,Davao to San Francisco via Manila,2022-11-01,3.0,3.0,1.0,0.0,1.0,3,0.0,no
90,NA,Solo Leisure,Yes,Business Class,Manila to Melbourne,2022-11-01,0.0,0.0,0.0,0.0,1.0,1,0.0,no
91,A321 / A330,Couple Leisure,Yes,Business Class,Singapore to Melbourne via Manila,2022-10-01,2.0,3.0,2.0,2.0,1.0,3,0.0,no
92,NA,Couple Leisure,Yes,Economy Class,Los Angeles to Manila,2022-04-01,0.0,0.0,0.0,0.0,0.0,3,0.0,no
93,NA,Solo Leisure,No,Economy Class,Manila to San Francisco,2022-11-01,1.0,1.0,1.0,1.0,1.0,1,1.0,no
94,NA,Family Leisure,Yes,Economy Class,Canada to Philippines,2022-11-01,3.0,3.0,3.0,3.0,1.0,1,3.0,no
95,NA,Couple Leisure,Yes,Economy Class,Hanoi to Manila,2022-11-01,4.0,4.0,4.0,0.0,4.0,2,0.0,no
96,NA,Solo Leisure,Yes,Economy Class,Manila via Los Angeles,2022-11-01,3.0,3.0,2.0,3.0,1.0,3,0.0,no
97,NA,Business,Yes,Economy Class,Manila to Los Angeles,2022-10-01,2.0,1.0,1.0,1.0,4.0,1,1.0,no
98,NA,Solo Leisure,Yes,Economy Class,Davao to San Francisco via Manila,2022-11-01,3.0,3.0,1.0,0.0,1.0,3,0.0,no
99,NA,Solo Leisure,Yes,Business Class,Manila to Melbourne,2022-11-01,0.0,0.0,0.0,0.0,1.0,1,0.0,no
100,A321 / A330,Couple Leisure,Yes,Business Class,Singapore to Melbourne via Manila,2022-10-01,2.0,3.0,2.0,2.0,1.0,3,0.0,no
101,NA,Couple Leisure,Yes,Economy Class,Los Angeles to Manila,2022-04-01,0.0,0.0,0.0,0.0,0.0,3,0.0,no
102,NA,Solo Leisure,No,Economy Class,Manila to San Francisco,2022-11-01,1.0,1.0,1.0,1.0,1.0,1,1.0,no
103,NA,Family Leisure,Yes,Economy Class,Canada to Philippines,2022-11-01,3.0,3.0,3.0,3.0,1.0,1,3.0,no
104,NA,Couple Leisure,Yes,Economy Class,Hanoi to Manila,2022-11-01,4.0,4.0,4.0,0.0,4.0,2,0.0,no
105,NA,Solo Leisure,Yes,Economy Class,Manila via Los Angeles,2022-11-01,3.0,3.0,2.0,3.0,1.0,3,0.0,no
106,NA,Business,Yes,Economy Class,Manila to Los Angeles,2022-10-01,2.0,1.0,1.0,1.0,4.0,1,1.0,no
107,NA,Solo Leisure,Yes,Economy Class,Davao to San Francisco via Manila,2022-11-01,3.0,3.0,1.0,0.0,1.0,3,0.0,no
108,NA,Solo Leisure,Yes,Business Class,Manila to Melbourne,2022-11-01,0.0,0.0,0.0,0.0,1.0,1,0.0,no
109,A321 / A330,Couple Leisure,Yes,Business Class,Singapore to Melbourne via Manila,2022-10-01,2.0,3.0,2.0,2.0,1.0,3,0.0,no
110,NA,Couple Leisure,Yes,Economy Class,Los Angeles to Manila,2022-04-01,0.0,0.0,0.0,0.0,0.0,3,0.0,no
111,NA,Solo Leisure,No,Economy Class,Manila to San Francisco,2022-11-01,1.0,1.0,1.0,1.0,1.0,1,1.0,no
112,NA,Family Leisure,Yes,Economy Class,Canada to Philippines,2022-11-01,3.0,3.0,3.0,3.0,1.0,1,3.0,no
113,NA,Couple Leisure,Yes,Economy Class,Hanoi to Manila,2022-11-01,4.0,4.0,4.0,0.0,4.0,2,0.0,no
114,NA,Solo Leisure,Yes,Economy Class,Manila via Los Angeles,2022-11-01,3.0,3.0,2.0,3.0,1.0,3,0.0,no
115,NA,Business,Yes,Economy Class,Manila to Los Angeles,2022-10-01,2.0,1.0,1.0,1.0,4.0,1,1.0,no
116,NA,Solo Leisure,Yes,Economy Class,Davao to San Francisco via Manila,2022-11-01,3.0,3.0,1.0,0.0,1.0,3,0.0,no
117,NA,Solo Leisure,Yes,Business Class,Manila to Melbourne,2022-11-01,0.0,0.0,0.0,0.0,1.0,1,0.0,no
118,A321 / A330,Couple Leisure,Yes,Business Class,Singapore to Melbourne via Manila,2022-10-01,2.0,3.0,2.0,2.0,1.0,3,0.0,no
119,NA,Couple Leisure,Yes,Economy Class,Los Angeles to Manila,2022-04-01,0.0,0.0,0.0,0.0,0.0,3,0.0,no
120,NA,Solo Leisure,No,Economy Class,Manila to San Francisco,2022-11-01,1.0,1.0,1.0,1.0,1.0,1,1.0,no
121,NA,Family Leisure,Yes,Economy Class,Canada to Philippines,2022-11-01,3.0,3.0,3.0,3.0,1.0,1,3.0,no
122,NA,Couple Leisure,Yes,Economy Class,Hanoi to Manila,2022-11-01,4.0,4.0,4.0,0.0,4.0,2,0.0,no
123,NA,Solo Leisure,Yes,Economy Class,Manila via Los Angeles,2022-11-01,3.0,3.0,2.0,3.0,1.0,3,0.0,no
124,NA,Business,Yes,Economy Class,Manila to Los Angeles,2022-10-01,2.0,1.0,1.0,1.0,4.0,1,1.0,no
125,NA,Solo Leisure,Yes,Economy Class,Davao to San Francisco via Manila,2022-11-01,3.0,3.0,1.0,0.0,1.0,3,0.0,no
126,NA,Solo Leisure,Yes,Business Class,Manila to Melbourne,2022-11-01,0.0,0.0,0.0,0.0,1.0,1,0.0,no
127,A321 / A330,Couple Leisure,Yes,Business Class,Singapore to Melbourne via Manila,2022-10-01,2.0,3.0,2.0,2.0,1.0,3,0.0,no
128,NA,Couple Leisure,Yes,Economy Class,Los Angeles to Manila,2022-04-01,0.0,0.0,0.0,0.0,0.0,3,0.0,no
129,NA,Solo Leisure,No,Economy Class,Manila to San Francisco,2022-11-01,1.0,1.0,1.0,1.0,1.0,1,1.0,no
130,NA,Family Leisure,Yes,Economy Class,Canada to Philippines,2022-11-01,3.0,3.0,3.0,3.0,1.0,1,3.0,no
131,NA,Couple Leisure,Yes,Economy Class,Hanoi to Manila,2022-11-01,4.0,4.0,4.0,0.0,4.0,2,0.0,no
132,NA,Solo Leisure,Yes,Economy Class,Manila via Los Angeles,2022-11-01,3.0,3.0,2.0,3.0,1.0,3,0.0,no
133,NA,Business,Yes,Economy Class,Manila to Los Angeles,2022-10-01,2.0,1.0,1.0,1.0,4.0,1,1.0,no
134,NA,Solo Leisure,Yes,Economy Class,Davao to San Francisco via Manila,2022-11-01,3.0,3.0,1.0,0.0,1.0,3,0.0,no
135,NA,Solo Leisure,Yes,Business Class,Manila to Melbourne,2022-11-01,0.0,0.0,0.0,0.0,1.0,1,0.0,no
136,A321 / A330,Couple Leisure,Yes,Business Class,Singapore to Melbourne via Manila,2022-10-01,2.0,3.0,2.0,2.0,1.0,3,0.0,no
137,NA,Couple Leisure,Yes,Economy Class,Los Angeles to Manila,2022-04-01,0.0,0.0,0.0,0.0,0.0,3,0.0,no
138,NA,Solo Leisure,No,Economy Class,Manila to San Francisco,2022-11-01,1.0,1.0,1.0,1.0,1.0,1,1.0,no
139,NA,Family Leisure,Yes,Economy Class,Canada to Philippines,2022-11-01,3.0,3.0,3.0,3.0,1.0,1,3.0,no
140,NA,Couple Leisure,Yes,Economy Class,Hanoi to Manila,2022-11-01,4.0,4.0,4.0,0.0,4.0,2,0.0,no
141,NA,Solo Leisure,Yes,Economy Class,Manila via Los Angeles,2022-11-01,3.0,3.0,2.0,3.0,1.0,3,0.0,no
142,NA,Business,Yes,Economy Class,Manila to Los Angeles,2022-10-01,2.0,1.0,1.0,1.0,4.0,1,1.0,no
143,NA,Solo Leisure,Yes,Economy Class,Davao to San Francisco via Manila,2022-11-01,3.0,3.0,1.0,0.0,1.0,3,0.0,no
144,NA,Solo Leisure,Yes,Business Class,Manila to Melbourne,2022-11-01,0.0,0.0,0.0,0.0,1.0,1,0.0,no
145,A321 / A330,Couple Leisure,Yes,Business Class,Singapore to Melbourne via Manila,2022-10-01,2.0,3.0,2.0,2.0,1.0,3,0.0,no
146,NA,Couple Leisure,Yes,Economy Class,Los Angeles to Manila,2022-04-01,0.0,0.0,0.0,0.0,0.0,3,0.0,no
147,NA,Solo Leisure,No,Economy Class,Manila to San Francisco,2022-11-01,1.0,1.0,1.0,1.0,1.0,1,1.0,no
148,NA,Family Leisure,Yes,Economy Class,Canada to Philippines,2022-11-01,3.0,3.0,3.0,3.0,1.0,1,3.0,no
149,NA,Couple Leisure,Yes,Economy Class,Hanoi to Manila,2022-11-01,4.0,4.0,4.0,0.0,4.0,2,0.0,no
150,NA,Solo Leisure,Yes,Economy Class,Manila via Los Angeles,2022-11-01,3.0,3.0,2.0,3.0,1.0,3,0.0,no
151,NA,Business,Yes,Economy Class,Manila to Los Angeles,2022-10-01,2.0,1.0,1.0,1.0,4.0,1,1.0,no
152,NA,Solo Leisure,Yes,Economy Class,Davao to San Francisco via Manila,2022-11-01,3.0,3.0,1.0,0.0,1.0,3,0.0,no
153,NA,Solo Leisure,Yes,Business Class,Manila to Melbourne,2022-11-01,0.0,0.0,0.0,0.0,1.0,1,0.0,no
154,A321 / A330,Couple Leisure,Yes,Business Class,Singapore to Melbourne via Manila,2022-10-01,2.0,3.0,2.0,2.0,1.0,3,0.0,no
155,NA,Couple Leisure,Yes,Economy Class,Los Angeles to Manila,2022-04-01,0.0,0.0,0.0,0.0,0.0,3,0.0,no
156,NA,Solo Leisure,No,Economy Class,Manila to San Francisco,2022-11-01,1.0,1.0,1.0,1.0,1.0,1,1.0,no
157,NA,Family Leisure,Yes,Economy Class,Canada to Philippines,2022-11-01,3.0,3.0,3.0,3.0,1.0,1,3.0,no
158,NA,Couple Leisure,Yes,Economy Class,Hanoi to Manila,2022-11-01,4.0,4.0,4.0,0.0,4.0,2,0.0,no
159,NA,Solo Leisure,Yes,Economy Class,Manila via Los Angeles,2022-11-01,3.0,3.0,2.0,3.0,1.0,3,0.0,no
160,NA,Business,Yes,Economy Class,Manila to Los Angeles,2022-10-01,2.0,1.0,1.0,1.0,4.0,1,1.0,no
161,NA,Solo Leisure,Yes,Economy Class,Davao to San Francisco via Manila,2022-11-01,3.0,3.0,1.0,0.0,1.0,3,0.0,no
162,NA,Solo Leisure,Yes,Business Class,Manila to Melbourne,2022-11-01,0.0,0.0,0.0,0.0,1.0,1,0.0,no
163,A321 / A330,Couple Leisure,Yes,Business Class,Singapore to Melbourne via Manila,2022-10-01,2.0,3.0,2.0,2.0,1.0,3,0.0,no
164,NA,Couple Leisure,Yes,Economy Class,Los Angeles to Manila,2022-04-01,0.0,0.0,0.0,0.0,0.0,3,0.0,no
165,NA,Solo Leisure,No,Economy Class,Manila to San Francisco,2022-11-01,1.0,1.0,1.0,1.0,1.0,1,1.0,no
166,NA,Family Leisure,Yes,Economy Class,Canada to Philippines,2022-11-01,3.0,3.0,3.0,3.0,1.0,1,3.0,no
167,NA,Couple Leisure,Yes,Economy Class,Hanoi to Manila,2022-11-01,4.0,4.0,4.0,0.0,4.0,2,0.0,no
168,NA,Solo Leisure,Yes,Economy Class,Manila via Los Angeles,2022-11-01,3.0,3.0,2.0,3.0,1.0,3,0.0,no
169,NA,Business,Yes,Economy Class,Manila to Los Angeles,2022-10-01,2.0,1.0,1.0,1.0,4.0,1,1.0,no
170,NA,Solo Leisure,Yes,Economy Class,Davao to San Francisco via Manila,2022-11-01,3.0,3.0,1.0,0.0,1.0,3,0.0,no
171,NA,Solo Leisure,Yes,Business Class,Manila to Melbourne,2022-11-01,0.0,0.0,0.0,0.0,1.0,1,0.0,no
172,A321 / A330,Couple Leisure,Yes,Business Class,Singapore to Melbourne via Manila,2022-10-01,2.0,3.0,2.0,2.0,1.0,3,0.0,no
173,NA,Couple Leisure,Yes,Economy Class,Los Angeles to Manila,2022-04-01,0.0,0.0,0.0,0.0,0.0,3,0.0,no
174,NA,Solo Leisure,No,Economy Class,Manila to San Francisco,2022-11-01,1.0,1.0,1.0,1.0,1.0,1,1.0,no
175,NA,Family Leisure,Yes,Economy Class,Canada to Philippines,2022-11-01,3.0,3.0,3.0,3.0,1.0,1,3.0,no
176,NA,Couple Leisure,Yes,Economy Class,Hanoi to Manila,2022-11-01,4.0,4.0,4.0,0.0,4.0,2,0.0,no
177,NA,Solo Leisure,Yes,Economy Class,Manila via Los Angeles,2022-11-01,3.0,3.0,2.0,3.0,1.0,3,0.0,no
178,NA,Business,Yes,Economy Class,Manila to Los Angeles,2022-10-01,2.0,1.0,1.0,1.0,4.0,1,1.0,no
179,NA,Solo Leisure,Yes,Economy Class,Davao to San Francisco via Manila,2022-11-01,3.0,3.0,1.0,0.0,1.0,3,0.0,no
180,NA,Solo Leisure,Yes,Business Class,Manila to Melbourne,2022-11-01,0.0,0.0,0.0,0.0,1.0,1,0.0,no
181,A321 / A330,Couple Leisure,Yes,Business Class,Singapore to Melbourne via Manila,2022-10-01,2.0,3.0,2.0,2.0,1.0,3,0.0,no
182,NA,Couple Leisure,Yes,Economy Class,Los Angeles to Manila,2022-04-01,0.0,0.0,0.0,0.0,0.0,3,0.0,no
183,NA,Solo Leisure,No,Economy Class,Manila to San Francisco,2022-11-01,1.0,1.0,1.0,1.0,1.0,1,1.0,no
184,NA,Family Leisure,Yes,Economy Class,Canada to Philippines,2022-11-01,3.0,3.0,3.0,3.0,1.0,1,3.0,no
185,NA,Couple Leisure,Yes,Economy Class,Hanoi to Manila,2022-11-01,4.0,4.0,4.0,0.0,4.0,2,0.0,no
186,NA,Solo Leisure,Yes,Economy Class,Manila via Los Angeles,2022-11-01,3.0,3.0,2.0,3.0,1.0,3,0.0,no
187,NA,Business,Yes,Economy Class,Manila to Los Angeles,2022-10-01,2.0,1.0,1.0,1.0,4.0,1,1.0,no
188,NA,Solo Leisure,Yes,Economy Class,Davao to San Francisco via Manila,2022-11-01,3.0,3.0,1.0,0.0,1.0,3,0.0,no
189,NA,Solo Leisure,Yes,Business Class,Manila to Melbourne,2022-11-01,0.0,0.0,0.0,0.0,1.0,1,0.0,no
190,A321 / A330,Couple Leisure,Yes,Business Class,Singapore to Melbourne via Manila,2022-10-01,2.0,3.0,2.0,2.0,1.0,3,0.0,no
191,NA,Couple Leisure,Yes,Economy Class,Los Angeles to Manila,2022-04-01,0.0,0.0,0.0,0.0,0.0,3,0.0,no
192,NA,Solo Leisure,No,Economy Class,Manila to San Francisco,2022-11-01,1.0,1.0,1.0,1.0,1.0,1,1.0,no
193,NA,Family Leisure,Yes,Economy Class,Canada to Philippines,2022-11-01,3.0,3.0,3.0,3.0,1.0,1,3.0,no
194,NA,Couple Leisure,Yes,Economy Class,Hanoi to Manila,2022-11-01,4.0,4.0,4.0,0.0,4.0,2,0.0,no
195,NA,Solo Leisure,Yes,Economy Class,Manila via Los Angeles,2022-11-01,3.0,3.0,2.0,3.0,1.0,3,0.0,no
196,NA,Business,Yes,Economy Class,Manila to Los Angeles,2022-10-01,2.0,1.0,1.0,1.0,4.0,1,1.0,no
197,NA,Solo Leisure,Yes,Economy Class,Davao to San Francisco via Manila,2022-11-01,3.0,3.0,1.0,0.0,1.0,3,0.0,no
198,NA,Solo Leisure,Yes,Business Class,Manila to Melbourne,2022-11-01,0.0,0.0,0.0,0.0,1.0,1,0.0,no
199,A321 / A330,Couple Leisure,Yes,Business Class,Singapore to Melbourne via Manila,2022-10-01,2.0,3.0,2.0,2.0,1.0,3,0.0,no
200,NA,Couple Leisure,Yes,Economy Class,Los Angeles to Manila,2022-04-01,0.0,0.0,0.0,0.0,0.0,3,0.0,no
